row,accretion_time
1043,5.075981901203548
1097,3.72535272280064
1102,3.963315368272144
1574,4.04785283076086
1575,4.021717363563564
1701,7.234220364078004
1715,4.468199701562877
1747,3.888243642385073
1776,4.4097912586887995
1787,4.510611354238056
1790,5.80567391715103
1843,4.392474633687525
1844,6.319518517688444
1847,6.556113243536925
1851,4.429581339201982
1931,8.824168901245491
2539,9.927670531401839
2544,5.712033513151947
2545,6.2335312861541246
2568,1.4891198976272988
2570,6.466960209302915
2576,9.9466423810937
2589,10.565103876166233
