row,accretion_time
182,7.042592452283235
342,5.863643776185303
410,8.689431119116358
479,6.598747217657458
483,2.7817184258051353
486,8.880854389919547
499,7.723951077465034
512,5.547568790918625
515,4.924144068474321
518,7.850309708099215
519,7.837154745984245
532,3.5178924887991023
547,7.679978447200658
550,5.776694050705222
561,3.0945073280973845
574,9.167495818985488
581,1.2212359073493864
582,9.762181187047558
591,2.110189782233332
592,2.4375177861551984
593,7.057053774695404
594,8.93402163816773
599,7.333764661383508
652,9.44389630433626
655,9.47766384632425
659,8.493695212827507
663,9.691040674315921
669,9.276572468730178
687,9.40225411673615
714,8.984442439537538
722,9.617092156301212
724,6.667349271813201
725,7.09504311615378
741,1.044103931103224
745,5.909335500745003
748,9.37278561921444
816,0.8084867338068765
820,8.656730760931516
821,8.61724942026916
826,0.38832452411773544
834,9.144414673977115
835,9.054342583655592
837,8.142702233565227
856,4.989768861488778
885,6.012238744159181
886,9.153756945274733
892,6.699488418813292
893,8.652865198830543
901,9.275585676076156
903,9.633810014332093
907,4.013224067357928
919,9.574073786334406
923,9.589924043194543
