row,accretion_time
776,10.429904423326256
794,11.776254979547176
797,1.7637478907659387
805,9.75116361762551
811,11.450286295906148
825,11.23455207593144
840,9.511982937043344
847,9.793578276185581
854,1.8068273547658902
855,8.09707079237562
860,3.516795770500695
863,8.082996989624482
875,2.3949880308243765
877,9.285883465739337
878,10.432911936800757
893,11.435265446661925
908,2.806878596197643
909,2.680325740270146
916,7.216293414200434
931,10.16882840980773
955,6.259278012455516
958,9.337712263539926
997,6.898602732461013
1013,9.019464107433164
1015,8.351800268963371
1029,7.068568318146224
1042,6.424517806824656
1043,6.23036780438492
1048,6.539583691410083
1049,6.283412600581953
1067,5.217314300521287
1070,10.826346966424293
1071,8.275332940204642
1086,8.525079105299117
1087,12.143195802589641
1090,10.363514282451595
1101,11.51446194318464
1102,12.324166922288997
1105,9.921119005630432
1106,11.197579564455188
1110,2.454565925930886
1137,6.795915187844063
1139,3.9446294336227115
1147,3.245013131201212
1148,4.161803283941134
1154,8.03581761560047
1155,5.970124519741798
1163,7.797323051681362
1254,9.597810869758137
1257,2.418345074357206
1261,10.90090416788022
1263,10.295512596615842
1295,9.93081218002029
1299,10.578137952749092
1304,6.875683321294812
1306,8.811972389066693
1318,8.959767439394541
1335,2.3737418115161755
