row,accretion_time
42,0.20647427081442968
380,5.3601604562405125
391,6.313189484855365
392,6.494043209210221
432,0.4797332164293947
437,0.41482069704482105
448,0.04351415729971571
462,2.6821328478574324
516,6.255037534533942
540,6.2138339134914995
548,2.3529795388976296
549,2.7362733513174264
1096,6.322456667510954
1106,5.562293049283021
1111,5.74859186131833
1160,4.230628206249022
1221,3.3373261258601192
1238,4.463426867897347
1241,4.049473603619613
1453,1.8806785092679699
1458,4.555813992940854
1461,9.086620914212798
1462,6.755380371341876
1475,7.509094287593521
1479,7.123677441472885
1485,1.412689945301241
1489,0.5312788749096738
1499,1.5062739808179253
1503,2.7926141010961474
1538,1.0216403269546332
1542,1.100855456156646
1555,10.042259752928876
1558,0.5471798744146873
1597,1.4678150757996424
1611,2.7516698792843086
1648,4.607886185870625
1650,6.3218008770416
1656,3.326164356149007
1690,0.04391554905472604
1692,5.564514311881615
1693,6.625199065962663
1694,4.646149743069547
1704,2.9943675740393827
1714,6.735270618161549
1721,6.922356220539883
1756,4.97319146414278
1762,1.6670783656909698
1766,2.791731707745304
1775,3.218832055735216
1828,3.390541230867558
1834,7.165144466763337
1838,6.670855138019953
1843,6.584496943988536
1858,7.132445663891529
1859,9.811801651985546
1861,6.900951485691605
1868,6.683003282557286
1872,7.084356251118432
1879,6.939321497843631
1886,6.976851069336015
1889,6.913566141928138
1891,6.443087605866455
1897,7.004865579533552
1902,2.546183343545796
1912,6.8760692126398135
1917,8.963064189330181
1920,6.893344949469273
1921,6.82667310102023
1923,6.8154065295655055
1937,2.7981593381834706
1938,2.6997255759117285
1947,3.0389790625017983
1949,3.1076443941170213
1950,3.4133774644918358
1959,9.018025627815737
1960,3.5880617921160893
1967,7.239250360898466
1969,6.623571463515422
2043,0.11144460894477129
2096,0.880973879203797
2103,6.759758532638632
2104,0.1597687457501203
2150,4.220156855748778
2153,1.6334433796799974
2174,5.402428739156572
2218,6.749743729177336
2228,6.444682869184073
2235,6.698600599808864
2239,3.782471190030856
2242,3.522513633242051
2668,2.727402610049924
2679,5.3733125405487145
2683,7.171769644834374
2688,5.461695164267548
2691,6.7405806100176235
2697,6.113334746215004
2703,8.190600809041994
2865,5.872178444170182
2881,5.396066093191129
2929,6.546079617025946
2936,6.197024146843022
3344,6.344006664301787
3418,6.262205260796073
3580,8.906658469824626
3581,8.683743881767066
3594,6.357382294196225
3826,6.590131536084049
