row,accretion_time
6,0.7770430450682351
10,5.190364311680029
11,1.800634196534356
12,2.0933408990429263
14,1.353932683918334
15,5.332808220068726
17,8.714275106233925
21,5.7089675075505415
22,8.397803742396938
24,5.364332331995572
25,1.0733309783950806
28,0.5668753965008905
35,3.73646997813012
38,1.4473716047149814
47,7.3156364404759096
56,5.622296054354814
59,8.437510809084399
65,8.497593540148198
66,4.563849320610618
70,5.793787346544172
75,9.834231830664681
79,8.688820839821634
82,0.2979524943223937
84,8.197279751063219
88,8.262834710483805
89,5.247220179334495
90,0.4432116083858899
93,8.111673947491598
95,3.8302682042485148
96,3.8353442201112244
99,5.543601853958844
100,7.428693045369439
113,7.537295473119979
121,0.2923030436856893
122,8.384944313732541
125,1.6099109420536504
129,8.254290607993275
132,3.0790750127029316
133,7.474235082115354
134,7.248041988957308
136,0.14803197684924616
147,8.580196449138509
149,2.954104759831946
150,8.26191624207105
166,2.8664542200476415
167,8.213320036818027
171,7.773292396455827
179,1.181582012750702
180,7.755730200506549
187,8.58400561709809
191,2.99978333168447
199,8.805449815703485
200,7.075998432541701
202,0.5507893743042642
205,9.62915216540398
211,8.533764046984084
222,8.394151435567307
223,8.406361123450415
234,8.05260210289337
235,10.587602772138
241,8.57055877945305
244,10.26979220502899
274,9.941320418506464
278,10.64615997035603
279,8.532256220471034
305,10.484800007728095
308,9.253018486045768
330,8.746720031813384
345,11.172296102032641
349,8.718937790056257
362,7.816774081259728
372,9.912545021479389
395,10.527340306523168
412,9.676928069385749
436,8.681680623689044
453,10.706389700576436
461,9.86003817337629
484,9.430586506101005
493,8.606564457205025
531,9.595733959288038
534,11.64190309405988
540,10.412620618486166
569,8.075001768567521
582,8.650929638481415
604,8.092569241015893
699,8.664548741286678
791,11.195415233003011
928,8.883291977927534
935,10.475156770163943
987,10.708830690242598
1072,10.411426551670838
1093,8.40274551669955
1198,8.73574567050624
1235,12.199758164650609
1248,10.690558174226648
1285,11.956384953087996
