row,accretion_time
17,5.866440844113421
18,5.017020235162217
23,7.75257635982311
26,3.507864657982126
31,3.315639275917228
34,7.145376109864633
40,5.294538501906481
41,7.70366940000824
45,5.8135367538537
46,1.29514960109058
48,4.625066718616979
52,3.4156454436214623
60,8.945824854234308
68,8.552526528535422
70,0.4910987603252214
72,0.9775211899967701
78,8.55306558640123
83,4.845968097944634
90,1.8735652719916234
99,2.019948475758916
100,4.664340672364195
105,7.354574950808446
107,5.248248593710978
112,7.8748554799470405
124,6.078413103267264
126,5.570598628111557
130,8.425034585929293
131,5.003446161646418
132,4.918144326971537
133,6.9101242722897895
137,7.166894331050331
146,8.514886984252483
149,6.792770493976484
153,1.0175653363093793
155,7.351607063940716
164,3.183683322897419
165,8.686688816497933
171,10.037798537496487
176,5.774033069792125
179,7.347249580313161
184,5.01258365455153
207,7.781375273662412
209,8.998095665423948
210,5.067955230197861
223,7.729403895933359
229,8.007325497747258
234,6.342110750239855
236,9.052061370343708
241,6.568268552662804
248,9.165198246830117
251,8.861312772340066
273,8.481591867031389
274,10.911167358753369
280,11.100020218744664
327,10.741736971086908
343,10.509261263901728
350,11.437519999804566
375,10.538621269808628
406,3.8117458969397933
409,11.186136423094226
434,8.98195651661401
471,11.062742458663612
477,5.898115601788272
577,9.95615013740499
642,11.28091717406601
649,7.925956392361324
729,11.387123553028058
772,9.787221328581483
851,11.32384014121431
893,11.077265518180536
944,11.250795113878953
1072,9.016377669412707
1114,9.04640464865472
1149,7.899378666600552
