row,accretion_time
15,7.978759799691122
20,9.00487961087206
23,8.290100121179739
36,6.334449865241068
39,6.473330236429781
42,8.514360011446184
55,10.377498092213076
67,6.043631732741194
69,7.899823674252929
70,7.626517419765895
71,7.679129158924494
73,7.665147149780602
75,6.996964513980879
78,2.750682250049909
84,8.667328722818839
92,8.477895568398932
99,3.9355433050263295
104,8.65649056118497
113,9.033453430333129
116,6.276266037981334
121,4.930899513273123
123,9.0565601544335
128,8.114293607963967
131,6.776904138085452
134,7.541871843464554
135,8.781669116399478
138,6.201434738134761
142,5.976790817665997
156,6.948724947787095
172,8.786139390391194
173,1.5987565230414509
175,1.9155271811807322
178,2.374373289632584
181,6.736053338334944
190,8.2294735282595
213,7.898471190454786
214,4.405491597971961
216,7.422153082116558
217,4.80831163700387
220,7.743805883802564
226,8.712915832515812
229,7.8680364073075975
234,1.8215724930625168
242,5.652720576625587
254,4.83234501619796
268,6.634774755786652
280,6.661948808982542
286,6.73949396099084
291,5.657320531600208
293,7.015309130027261
300,5.385633483843757
312,9.040962542907497
316,3.6321065879551813
318,6.4364926140809855
320,7.6406398581752715
321,7.808752548324089
322,7.823091678196671
330,8.305835838706345
339,4.010980278410442
341,7.488294771564105
345,5.301965509745603
346,5.045040415208317
349,9.379398327986504
351,3.0445857782870838
362,7.070810731996171
367,6.481930295313087
371,8.712097297655433
373,9.167946822168087
396,7.9961454928809905
399,9.119747349069101
408,8.833209481543285
417,8.981482380025454
427,10.276912339657098
428,7.403659282290928
434,10.900614470722633
438,9.117803272093015
459,7.799213785181228
460,5.833397096326752
465,7.096031009600252
466,6.831259675331843
481,4.495391030099389
492,7.257730442384682
494,8.939357616835395
512,8.02047005329906
520,8.179623149269673
574,8.85836726286436
583,8.89821680564643
592,8.204278944210548
619,10.819877281650413
625,8.748252602867163
635,10.482953124715966
652,9.144098738018586
657,6.90220803788784
701,9.21880216370122
723,9.98343704464985
746,8.490185972329218
776,9.528032006597615
785,10.983445646721508
797,10.407778642269001
853,8.468437590001923
900,9.000384963464935
